group_name,team,code,number,category,name,image_path,status_validacion
A,México,MEX 1,1,Escudo,Escudo de México,/stickers/MEX/MEX_001.png,validado_foto
A,México,MEX 2,2,Jugador,Luis Malagón,/stickers/MEX/MEX_002.png,validado_foto
A,México,MEX 3,3,Jugador,Johan Vásquez,/stickers/MEX/MEX_003.png,validado_foto
A,México,MEX 4,4,Jugador,Jorge Sánchez,/stickers/MEX/MEX_004.png,validado_foto
A,México,MEX 5,5,Jugador,César Montes,/stickers/MEX/MEX_005.png,validado_foto
A,México,MEX 6,6,Jugador,Jesús Gallardo,/stickers/MEX/MEX_006.png,validado_foto
A,México,MEX 7,7,Jugador,Israel Reyes,/stickers/MEX/MEX_007.png,validado_foto
A,México,MEX 8,8,Jugador,Diego Lainez,/stickers/MEX/MEX_008.png,validado_foto
A,México,MEX 9,9,Jugador,Carlos Rodríguez,/stickers/MEX/MEX_009.png,validado_foto
A,México,MEX 10,10,Jugador,Edson Álvarez,/stickers/MEX/MEX_010.png,validado_foto
A,México,MEX 11,11,Jugador,Orbelín Pineda,/stickers/MEX/MEX_011.png,validado_foto
A,México,MEX 12,12,Jugador,Marcel Ruiz,/stickers/MEX/MEX_012.png,validado_foto
A,México,MEX 13,13,Equipo,Foto de equipo México,/stickers/MEX/MEX_013.png,validado_foto
A,México,MEX 14,14,Jugador,Erick Sánchez,/stickers/MEX/MEX_014.png,validado_foto
A,México,MEX 15,15,Jugador,Hirving Lozano,/stickers/MEX/MEX_015.png,validado_foto
A,México,MEX 16,16,Jugador,Santiago Giménez,/stickers/MEX/MEX_016.png,validado_foto
A,México,MEX 17,17,Jugador,Raúl Jiménez,/stickers/MEX/MEX_017.png,validado_foto
A,México,MEX 18,18,Jugador,Alexis Vega,/stickers/MEX/MEX_018.png,validado_foto
A,México,MEX 19,19,Jugador,Roberto Alvarado,/stickers/MEX/MEX_019.png,validado_foto
A,México,MEX 20,20,Jugador,César Huerta,/stickers/MEX/MEX_020.png,validado_foto
A,Sudáfrica,RSA 1,1,Escudo,Escudo de Sudáfrica,/stickers/RSA/RSA_001.png,validado_foto
A,Sudáfrica,RSA 2,2,Jugador,Ronwen Williams,/stickers/RSA/RSA_002.png,validado_foto
A,Sudáfrica,RSA 3,3,Jugador,Sipho Chaine,/stickers/RSA/RSA_003.png,validado_foto
A,Sudáfrica,RSA 4,4,Jugador,Aubrey Modiba,/stickers/RSA/RSA_004.png,validado_foto
A,Sudáfrica,RSA 5,5,Jugador,Samkelo Kabini,/stickers/RSA/RSA_005.png,validado_foto
A,Sudáfrica,RSA 6,6,Jugador,Mbekezeli Mbokazi,/stickers/RSA/RSA_006.png,validado_foto
A,Sudáfrica,RSA 7,7,Jugador,Khuliso Ndamane,/stickers/RSA/RSA_007.png,validado_foto
A,Sudáfrica,RSA 8,8,Jugador,Siyabonga Ngezana,/stickers/RSA/RSA_008.png,validado_foto
A,Sudáfrica,RSA 9,9,Jugador,Khuliso Mudau,/stickers/RSA/RSA_009.png,validado_foto
A,Sudáfrica,RSA 10,10,Jugador,Nkosinathi Sibisi,/stickers/RSA/RSA_010.png,validado_foto
A,Sudáfrica,RSA 11,11,Jugador,Teboho Mokoena,/stickers/RSA/RSA_011.png,validado_foto
A,Sudáfrica,RSA 12,12,Jugador,Thalente Mbatha,/stickers/RSA/RSA_012.png,validado_foto
A,Sudáfrica,RSA 13,13,Equipo,Foto de equipo Sudáfrica,/stickers/RSA/RSA_013.png,validado_foto
A,Sudáfrica,RSA 14,14,Jugador,Bathusi Aubaas,/stickers/RSA/RSA_014.png,validado_foto
A,Sudáfrica,RSA 15,15,Jugador,Vuma Sithole,/stickers/RSA/RSA_015.png,validado_foto
A,Sudáfrica,RSA 16,16,Jugador,Sipho Mbule,/stickers/RSA/RSA_016.png,validado_foto
A,Sudáfrica,RSA 17,17,Jugador,Lyle Foster,/stickers/RSA/RSA_017.png,validado_foto
A,Sudáfrica,RSA 18,18,Jugador,Iqraam Rayners,/stickers/RSA/RSA_018.png,validado_foto
A,Sudáfrica,RSA 19,19,Jugador,Mohau Nkota,/stickers/RSA/RSA_019.png,validado_foto
A,Sudáfrica,RSA 20,20,Jugador,Oswin Appollis,/stickers/RSA/RSA_020.png,validado_foto
