code,number,team,name,category,source_url
"ALG 1","1","Algeria","Escudo de Algeria","Escudo","https://scanini.app/es/teams/algeria"
"ALG 2","2","Algeria","Alexis Guendouz","Jugador","https://scanini.app/es/teams/algeria"
"ALG 3","3","Algeria","Ramy Bensebaini","Jugador","https://scanini.app/es/teams/algeria"
"ALG 4","4","Algeria","Youcef Atal","Jugador","https://scanini.app/es/teams/algeria"
"ALG 5","5","Algeria","Rayan Aït-Nouri","Jugador","https://scanini.app/es/teams/algeria"
"ALG 6","6","Algeria","Mohamed Amine Tougai","Jugador","https://scanini.app/es/teams/algeria"
"ALG 7","7","Algeria","Aïssa Mandi","Jugador","https://scanini.app/es/teams/algeria"
"ALG 8","8","Algeria","Ismael Bennacer","Jugador","https://scanini.app/es/teams/algeria"
"ALG 9","9","Algeria","Houssem Aquar","Jugador","https://scanini.app/es/teams/algeria"
"ALG 10","10","Algeria","Hicham Boudaoui","Jugador","https://scanini.app/es/teams/algeria"
"ALG 11","11","Algeria","Ramiz Zerrouki","Jugador","https://scanini.app/es/teams/algeria"
"ALG 12","12","Algeria","Nabil Bentalab","Jugador","https://scanini.app/es/teams/algeria"
"ALG 13","13","Algeria","Foto del equipo de Algeria","Equipo","https://scanini.app/es/teams/algeria"
"ALG 14","14","Algeria","Farés Chaibi","Jugador","https://scanini.app/es/teams/algeria"
"ALG 15","15","Algeria","Riyad Mahrez","Jugador","https://scanini.app/es/teams/algeria"
"ALG 16","16","Algeria","Said Benrahma","Jugador","https://scanini.app/es/teams/algeria"
"ALG 17","17","Algeria","Anis Hadj Moussa","Jugador","https://scanini.app/es/teams/algeria"
"ALG 18","18","Algeria","Amine Gouiri","Jugador","https://scanini.app/es/teams/algeria"
"ALG 19","19","Algeria","Baghdad Bounedjah","Jugador","https://scanini.app/es/teams/algeria"
"ALG 20","20","Algeria","Mohammed Amoura","Jugador","https://scanini.app/es/teams/algeria"
"ARG 1","1","Argentina","Escudo de Argentina","Escudo","https://scanini.app/es/teams/argentina"
"ARG 2","2","Argentina","Emiliano Martinez","Jugador","https://scanini.app/es/teams/argentina"
"ARG 3","3","Argentina","Nahuel Molina","Jugador","https://scanini.app/es/teams/argentina"
"ARG 4","4","Argentina","Cristian Romero","Jugador","https://scanini.app/es/teams/argentina"
"ARG 5","5","Argentina","Nicolas Otamendi","Jugador","https://scanini.app/es/teams/argentina"
"ARG 6","6","Argentina","Nicolas Tagliafico","Jugador","https://scanini.app/es/teams/argentina"
"ARG 7","7","Argentina","Leonardo Balerdi","Jugador","https://scanini.app/es/teams/argentina"
"ARG 8","8","Argentina","Enzo Fernandez","Jugador","https://scanini.app/es/teams/argentina"
"ARG 9","9","Argentina","Alexis Mac Allister","Jugador","https://scanini.app/es/teams/argentina"
"ARG 10","10","Argentina","Rodrigo De Paul","Jugador","https://scanini.app/es/teams/argentina"
"ARG 11","11","Argentina","Exequiel Palacios","Jugador","https://scanini.app/es/teams/argentina"
"ARG 12","12","Argentina","Leandro Paredes","Jugador","https://scanini.app/es/teams/argentina"
"ARG 13","13","Argentina","Foto del equipo de Argentina","Equipo","https://scanini.app/es/teams/argentina"
"ARG 14","14","Argentina","Nico Paz","Jugador","https://scanini.app/es/teams/argentina"
"ARG 15","15","Argentina","Franco Mastantuono","Jugador","https://scanini.app/es/teams/argentina"
"ARG 16","16","Argentina","Nico Gonzalez","Jugador","https://scanini.app/es/teams/argentina"
"ARG 17","17","Argentina","Lionel Messi","Jugador","https://scanini.app/es/teams/argentina"
"ARG 18","18","Argentina","Lautaro Martinez","Jugador","https://scanini.app/es/teams/argentina"
"ARG 19","19","Argentina","Julian Alvarez","Jugador","https://scanini.app/es/teams/argentina"
"ARG 20","20","Argentina","Giuliano Simeone","Jugador","https://scanini.app/es/teams/argentina"
"AUS 1","1","Australia","Escudo de Australia","Escudo","https://scanini.app/es/teams/australia"
"AUS 2","2","Australia","Mathew Ryan","Jugador","https://scanini.app/es/teams/australia"
"AUS 3","3","Australia","Joe Gauci","Jugador","https://scanini.app/es/teams/australia"
"AUS 4","4","Australia","Harry Souttar","Jugador","https://scanini.app/es/teams/australia"
"AUS 5","5","Australia","Alessandro Circati","Jugador","https://scanini.app/es/teams/australia"
"AUS 6","6","Australia","Jordan Bos","Jugador","https://scanini.app/es/teams/australia"
"AUS 7","7","Australia","Aziz Behich","Jugador","https://scanini.app/es/teams/australia"
"AUS 8","8","Australia","Cameron Burgess","Jugador","https://scanini.app/es/teams/australia"
"AUS 9","9","Australia","Lewis Miller","Jugador","https://scanini.app/es/teams/australia"
"AUS 10","10","Australia","Milos Degenek","Jugador","https://scanini.app/es/teams/australia"
"AUS 11","11","Australia","Jackson Irvine","Jugador","https://scanini.app/es/teams/australia"
"AUS 12","12","Australia","Riley McGree","Jugador","https://scanini.app/es/teams/australia"
"AUS 13","13","Australia","Foto del equipo de Australia","Equipo","https://scanini.app/es/teams/australia"
"AUS 14","14","Australia","Aiden O'Neill","Jugador","https://scanini.app/es/teams/australia"
"AUS 15","15","Australia","Connor Metcalfe","Jugador","https://scanini.app/es/teams/australia"
"AUS 16","16","Australia","Patrick Yazbek","Jugador","https://scanini.app/es/teams/australia"
"AUS 17","17","Australia","Craig Goodwin","Jugador","https://scanini.app/es/teams/australia"
"AUS 18","18","Australia","Kusini Vengi","Jugador","https://scanini.app/es/teams/australia"
"AUS 19","19","Australia","Nestory Irankunda","Jugador","https://scanini.app/es/teams/australia"
"AUS 20","20","Australia","Mohamed Touré","Jugador","https://scanini.app/es/teams/australia"
"AUT 1","1","Austria","Escudo de Austria","Escudo","https://scanini.app/es/teams/austria"
"AUT 2","2","Austria","Alexander Schlager","Jugador","https://scanini.app/es/teams/austria"
"AUT 3","3","Austria","Patrick Pentz","Jugador","https://scanini.app/es/teams/austria"
"AUT 4","4","Austria","David Alaba","Jugador","https://scanini.app/es/teams/austria"
"AUT 5","5","Austria","Kevin Danso","Jugador","https://scanini.app/es/teams/austria"
"AUT 6","6","Austria","Philipp Lienhart","Jugador","https://scanini.app/es/teams/austria"
"AUT 7","7","Austria","Stefan Posch","Jugador","https://scanini.app/es/teams/austria"
"AUT 8","8","Austria","Phillipp Mwene","Jugador","https://scanini.app/es/teams/austria"
"AUT 9","9","Austria","Alexander Prass","Jugador","https://scanini.app/es/teams/austria"
