id,group_name,team,code,number,category,name,image_path,validation_status,notes
1,A,México,MEX 1,1,Escudo,Escudo de México,/stickers/MEX/MEX_1.webp,validado,
2,A,México,MEX 2,2,Jugador,Luis Malagón,/stickers/MEX/MEX_2.webp,validado,
3,A,México,MEX 3,3,Jugador,Johan Vásquez,/stickers/MEX/MEX_3.webp,validado,
4,A,México,MEX 4,4,Jugador,Jorge Sánchez,/stickers/MEX/MEX_4.webp,validado,
5,A,México,MEX 5,5,Jugador,César Montes,/stickers/MEX/MEX_5.webp,validado,
6,A,México,MEX 6,6,Jugador,Jesús Gallardo,/stickers/MEX/MEX_6.webp,validado,
7,A,México,MEX 7,7,Jugador,Israel Reyes,/stickers/MEX/MEX_7.webp,validado,
8,A,México,MEX 8,8,Jugador,Diego Lainez,/stickers/MEX/MEX_8.webp,validado,
9,A,México,MEX 9,9,Jugador,Carlos Rodríguez,/stickers/MEX/MEX_9.webp,validado,
10,A,México,MEX 10,10,Jugador,Edson Álvarez,/stickers/MEX/MEX_10.webp,validado,
11,A,México,MEX 11,11,Jugador,Orbelín Pineda,/stickers/MEX/MEX_11.webp,validado,
12,A,México,MEX 12,12,Jugador,Marcel Ruiz,/stickers/MEX/MEX_12.webp,validado,
13,A,México,MEX 13,13,Equipo,Selección de México,/stickers/MEX/MEX_13.webp,validado,
14,A,México,MEX 14,14,Jugador,Erick Sánchez,/stickers/MEX/MEX_14.webp,validado,
15,A,México,MEX 15,15,Jugador,Hirving Lozano,/stickers/MEX/MEX_15.webp,validado,
16,A,México,MEX 16,16,Jugador,Santiago Giménez,/stickers/MEX/MEX_16.webp,validado,
17,A,México,MEX 17,17,Jugador,Raúl Jiménez,/stickers/MEX/MEX_17.webp,validado,
18,A,México,MEX 18,18,Jugador,Alexis Vega,/stickers/MEX/MEX_18.webp,validado,
19,A,México,MEX 19,19,Jugador,Roberto Alvarado,/stickers/MEX/MEX_19.webp,validado,
20,A,México,MEX 20,20,Jugador,César Huerta,/stickers/MEX/MEX_20.webp,validado,
21,A,Sudáfrica,RSA 1,1,Escudo,Escudo de Sudáfrica,/stickers/RSA/RSA_1.webp,validado,
22,A,Sudáfrica,RSA 2,2,Jugador,Ronwen Williams,/stickers/RSA/RSA_2.webp,validado,
23,A,Sudáfrica,RSA 3,3,Jugador,Sipho Chaine,/stickers/RSA/RSA_3.webp,validado,
24,A,Sudáfrica,RSA 4,4,Jugador,Aubrey Modiba,/stickers/RSA/RSA_4.webp,validado,
25,A,Sudáfrica,RSA 5,5,Jugador,Samukele Kabini,/stickers/RSA/RSA_5.webp,validado,
26,A,Sudáfrica,RSA 6,6,Jugador,Mbekezeli Mbokazi,/stickers/RSA/RSA_6.webp,validado,
27,A,Sudáfrica,RSA 7,7,Jugador,Khuliso Ndamane,/stickers/RSA/RSA_7.webp,validado,
